,real_time,tcn,hybrid,bond_graph,y_cnnlstm,x
48,4.582051282,4.6053886,4.593823018,4.588748323,4.5639257,0.2068848
49,4.643589744,4.617375,4.597332801,4.588525413,4.5640635,0.20702304
50,4.537606838,4.6064286,4.59384349,4.588304594,4.564201,0.20716128
51,4.602564103,4.6176934,4.597143773,4.588085857,4.564338,0.20729952
52,4.527350427,4.610046,4.594660897,4.587869197,4.564476,0.20743776
53,4.605982906,4.612892,4.595391771,4.587654606,4.5646133,0.207576
54,4.496581197,4.6111097,4.594705514,4.587442078,4.564751,0.20771424
55,4.691452991,4.5851574,4.586594385,4.587231606,4.564888,0.20785248
56,4.602564103,4.60525,4.592628411,4.587023183,4.565025,0.20799072
57,4.647008547,4.6263137,4.598975701,4.586816803,4.565168,0.20812896
58,4.544444444,4.609766,4.593747459,4.586612459,4.5653257,0.2082672
59,4.684615385,4.6189704,4.596454146,4.586410145,4.565484,0.20840544
60,4.677777778,4.6072235,4.592698619,4.586209855,4.565642,0.20854368
61,4.605982906,4.6213145,4.596923732,4.586011581,4.5658007,0.20868192
62,4.691452991,4.62499,4.597936431,4.585815318,4.5659595,0.20882016
63,4.725641026,4.609897,4.593139906,4.585621059,4.5661182,0.2089584
64,4.534188034,4.6273026,4.59841104,4.585428797,4.566277,0.20909664
65,4.636752137,4.6320357,4.599761612,4.585238528,4.5664363,0.20923488
66,4.582051282,4.6150513,4.59437002,4.585050244,4.566595,0.20937312
67,4.547863248,4.6159644,4.594534797,4.584863939,4.5667543,0.20951136
68,4.616239316,4.6165986,4.594614749,4.584679607,4.566913,0.2096496
69,4.636752137,4.618614,4.595126924,4.584497243,4.5670724,0.20978784
70,4.616239316,4.6152415,4.593961311,4.584316839,4.5672317,0.20992608
71,4.582051282,4.620194,4.595393954,4.584138391,4.567391,0.21006432
72,4.653846154,4.6151195,4.593697832,4.583961892,4.56755,0.21020256
73,4.554700855,4.6155324,4.593716414,4.583787336,4.5677094,0.2103408
74,4.65042735,4.6198545,4.594960482,4.583614717,4.567868,0.21047904
75,4.551282051,4.6168184,4.593902714,4.583444029,4.5680275,0.21061728
76,4.616239316,4.6193843,4.59460167,4.583275268,4.5681868,0.21075552
77,4.592307692,4.6213465,4.595114005,4.583108426,4.568346,0.21089376
78,4.64017094,4.6160083,4.593334619,4.582943498,4.5685205,0.211032
79,4.664102564,4.6176686,4.593754914,4.582780479,4.568695,0.21117024
80,4.503418803,4.618949,4.5940579,4.582619362,4.568869,0.21130848
81,4.64017094,4.5974016,4.587168914,4.582460143,4.5690436,0.21144672
82,4.667521368,4.621934,4.594804055,4.582302816,4.5692186,0.21158496
83,4.65042735,4.619647,4.593987173,4.582147375,4.5693936,0.2117232
84,4.595726496,4.6235495,4.59512628,4.581993814,4.569568,0.21186144
85,4.575213675,4.617713,4.593188446,4.581842128,4.569743,0.21199968
86,4.657264957,4.6141844,4.591979252,4.581692313,4.569918,0.21213792
87,4.647008547,4.619703,4.59363623,4.581544361,4.5700936,0.21227616
88,4.602564103,4.6212707,4.594044665,4.581398269,4.5702686,0.2124144
89,4.527350427,4.6186075,4.593112162,4.58125403,4.5704436,0.21255264
90,4.653846154,4.612241,4.591002651,4.581111639,4.570619,0.21269088
91,4.61965812,4.620784,4.593632512,4.580971092,4.570794,0.21282912
92,4.588888889,4.6211686,4.593671674,4.580832383,4.5709696,0.21296736
93,4.582051282,4.614543,4.591478896,4.580695506,4.5711446,0.2131056
94,4.684615385,4.615433,4.59168027,4.580560457,4.5713205,0.21324384
95,4.653846154,4.619498,4.592896487,4.580427231,4.571496,0.21338208
96,4.616239316,4.624712,4.594483484,4.580295822,4.571671,0.21352032
97,4.636752137,4.620957,4.593207112,4.580166225,4.5718465,0.21365856
98,4.582051282,4.620285,4.592916503,4.580038436,4.5720215,0.2137968
99,4.486324786,4.6138835,4.590791819,4.579912449,4.572197,0.21393504
100,4.558119658,4.567923,4.57598513,4.57978826,4.5723724,0.21407328
101,4.578632479,4.6220803,4.593272493,4.579665863,4.572548,0.21421152
102,4.544444444,4.6174464,4.591714319,4.579545253,4.572723,0.21434976
103,4.523931624,4.6163263,4.591284028,4.579426427,4.572898,0.214488
104,4.684615385,4.607147,4.588262448,4.579309378,4.5730734,0.21462624
105,4.585470085,4.620453,4.592474655,4.579194103,4.573249,0.21476448
106,4.537606838,4.618369,4.591737487,4.579080596,4.573424,0.21490272
107,4.513675214,4.6147804,4.5905152,4.578968853,4.573599,0.21504096
108,4.513675214,4.5986457,4.585243794,4.578858869,4.5737743,0.2151792
109,4.551282051,4.6000156,4.585618189,4.578750639,4.573951,0.21531744
110,4.681196581,4.6210523,4.592351091,4.578644159,4.5741267,0.21545568
111,4.582051282,4.621864,4.592553924,4.578539425,4.5743027,0.21559392
112,4.602564103,4.616941,4.590901889,4.57843643,4.574478,0.21573216
113,4.605982906,4.619288,4.591603926,4.578335172,4.5746536,0.2158704
114,4.694871795,4.619082,4.591480523,4.578235646,4.5748296,0.21600864
115,4.537606838,4.6221137,4.592408895,4.578137846,4.575005,0.21614688
116,4.605982906,4.618906,4.591313587,4.578041769,4.5751805,0.21628512
117,4.612820513,4.6227746,4.592517816,4.57794741,4.5753565,0.21642336
118,4.571794872,4.6206656,4.59178073,4.577854765,4.575532,0.2165616
119,4.541025641,4.6140785,4.589585931,4.57776383,4.5757074,0.21669984
120,4.602564103,4.6154613,4.58998551,4.5776746,4.575883,0.21683808
